"model","experiment","slope","p_value","r_squared","significance_score_p","significance_score_r2"
"Gemma2 (27B)","Exp. 9: Short Game Pos. 3 Easy",-7.88275828792517,0.0870463931435865,0.410322481903238,0,3
"Gemma2 (27B)","Exp. 10: Short Game Pos. 3 Hard",-2.39124879459981,0.610260405082219,0.055743551534893,0,1
"Llama3 (70B)","Exp. 1: Full Game",2.50724154026176,0.132320394014345,0.128175032439981,0,2
"Llama3 (70B)","Exp. 2: Full Game No Special Cards",3.13141017667667,0.154238374125496,0.139451510454263,0,2
"Llama3 (70B)","Exp. 3: Full Game Programmatic",-0.0252837266608896,0.933364829970956,0.000423411999719403,0,1
"Llama3 (70B)","Exp. 4: Short Game No Reprompting",-9.59319727891157,0.120792633932638,0.491297031164082,0,3
"Llama3 (70B)","Exp. 5: Short Game Pos. 1 Easy",-0.325665405785905,0.809305654148689,0.0104893636244984,0,1
"Llama3 (70B)","Exp. 6: Short Game Pos. 1 Hard",-1.97504901476788,0.056746885331053,0.480129933172664,0,3
"Llama3 (70B)","Exp. 7: Short Game Pos. 2 Easy",11.5394773521439,0.205905222380287,0.251070308631464,0,3
"Llama3 (70B)","Exp. 8: Short Game Pos. 2 Hard",27.972582972583,0.141132985079667,0.323629387179834,0,3
"Llama3 (70B)","Exp. 9: Short Game Pos. 3 Easy",-4.91589481568273,0.382276434043462,0.12898082094288,0,2
"Llama3 (70B)","Exp. 10: Short Game Pos. 3 Hard",16.5925040632564,0.424102198564905,0.109166871778778,0,2
"Mistral NeMo (12B)","Exp. 1: Full Game",9.63709930724226,0.415033889888459,0.0394412878087738,0,1
"Mistral NeMo (12B)","Exp. 2: Full Game No Special Cards",0.803497243638114,0.667843245749474,0.0135372961820373,0,1
"Mistral NeMo (12B)","Exp. 3: Full Game Programmatic",-0.899459942834202,0.0623113845632665,0.189727163242282,0,2
"Mistral NeMo (12B)","Exp. 4: Short Game No Reprompting",14.5494505494506,0.128315746389412,0.477752542779379,0,3
"Mistral NeMo (12B)","Exp. 5: Short Game Pos. 1 Easy",-7.33722422006871,0.1847878321835,0.272193867115673,0,3
"Mistral NeMo (12B)","Exp. 6: Short Game Pos. 1 Hard",-0.0555377664850402,0.935805523933233,0.00117401223361191,0,1
"Mistral NeMo (12B)","Exp. 7: Short Game Pos. 2 Easy",-0.59480163261676,0.262432233088432,0.203107864888687,0,2
"Mistral NeMo (12B)","Exp. 8: Short Game Pos. 2 Hard",-0.775534198097243,0.435503035725755,0.104190094356376,0,2
"Mistral NeMo (12B)","Exp. 9: Short Game Pos. 3 Easy",-2.11331355622742,0.658055332764466,0.0348423172960547,0,1
"Mistral NeMo (12B)","Exp. 10: Short Game Pos. 3 Hard",-0.959405673691388,0.0683729424493451,0.450556296760042,0,3
"Mixtral 8x22B","Exp. 1: Full Game",-0.110178688539332,0.794392169025399,0.0041058817575742,0,1
"Mixtral 8x22B","Exp. 2: Full Game No Special Cards",3.49044708069471,0.526422528579756,0.0292655623450004,0,1
"Mixtral 8x22B","Exp. 3: Full Game Programmatic",-3.21577081101656,0.259589824766106,0.0740885277119593,0,1
"Mixtral 8x22B","Exp. 4: Short Game No Reprompting",9.26530612244898,0.246760201591779,0.314741782125806,0,3
"Mixtral 8x22B","Exp. 5: Short Game Pos. 1 Easy",-7.10249876503276,0.101436196409235,0.383735807005363,0,3
"Mixtral 8x22B","Exp. 6: Short Game Pos. 1 Hard",34.8620205977128,0.166238055364129,0.344106319884162,0,3
"Mixtral 8x22B","Exp. 7: Short Game Pos. 2 Easy",-5.86826979857946,0.19274747630079,0.26398809237409,0,3
"Mixtral 8x22B","Exp. 8: Short Game Pos. 2 Hard",-6.11092685871356,0.239858476719593,0.262371789179585,0,3
"Mixtral 8x22B","Exp. 9: Short Game Pos. 3 Easy",-7.55345598941658,0.0855922386612738,0.413198892331927,0,3
"Mixtral 8x22B","Exp. 10: Short Game Pos. 3 Hard",4.42218075211124,0.727266938728404,0.0265044645570091,0,1
"Mixtral 8x7B","Exp. 1: Full Game",-60,0.333333333333333,0.75,0,3
"Mixtral 8x7B","Exp. 2: Full Game No Special Cards",2.4,0.757067100946325,0.059016393442623,0,1
"Mixtral 8x7B","Exp. 3: Full Game Programmatic",14.4,0.141883669678967,0.736363636363636,0,3
"Mixtral 8x7B","Exp. 4: Short Game No Reprompting",NA,NA,NA,0,0
"Mixtral 8x7B","Exp. 5: Short Game Pos. 1 Easy",20,NA,1,0,3
"Mixtral 8x7B","Exp. 6: Short Game Pos. 1 Hard",1.42857142857143,0.333333333333333,0.75,0,3
"Mixtral 8x7B","Exp. 7: Short Game Pos. 2 Easy",-12,NA,1,0,3
"Mixtral 8x7B","Exp. 8: Short Game Pos. 2 Hard",38.5714285714286,NA,1,0,3
"Mixtral 8x7B","Exp. 9: Short Game Pos. 3 Easy",20,NA,1,0,3
"Mixtral 8x7B","Exp. 10: Short Game Pos. 3 Hard",17.8571428571429,0.727289314790107,0.0743711178276493,0,1
"Qwen2 (72B)","Exp. 1: Full Game",-0.197831599575757,0.877325477356181,0.00144236318227009,0,1
"Qwen2 (72B)","Exp. 2: Full Game No Special Cards",0.764215706606872,0.721036401049251,0.00939345693669458,0,1
"Qwen2 (72B)","Exp. 3: Full Game Programmatic",-0.235912147596183,0.394342727665608,0.0429936466286235,0,1
"Qwen2 (72B)","Exp. 4: Short Game No Reprompting",8.54666666666667,0.59240661020104,0.077821722571476,0,1
"Qwen2 (72B)","Exp. 5: Short Game Pos. 1 Easy",5.5829911220987,0.379730868121268,0.130271283757332,0,2
"Qwen2 (72B)","Exp. 6: Short Game Pos. 1 Hard",29.999222999223,0.110647276919736,0.368266041538034,0,3
"Qwen2 (72B)","Exp. 7: Short Game Pos. 2 Easy",2.58359358895073,0.0994121528613262,0.387285854129617,0,3
"Qwen2 (72B)","Exp. 8: Short Game Pos. 2 Hard",-8.77601257527366,0.0205972586510668,0.618598692340195,1,3
"Qwen2 (72B)","Exp. 9: Short Game Pos. 3 Easy",7.44000576627847,0.25562920874392,0.208324582390908,0,2
"Qwen2 (72B)","Exp. 10: Short Game Pos. 3 Hard",-4.24931200550396,0.444053564067144,0.100568339628706,0,2
